Source,Reference,BhashaVerse,ChatGPT 5.2
இரண்டுங்கெட்டான்,Neither/Nor,Two of them,The one who has lost both.
"பிஸ்கெட் டப்பாவை காலி செய்து
நினைக்கும்போதெல்லாம் ராத்தங்கி
தத்தம் வீட்டில் அடிக்க முடியாத லூட்டிகளை
அடிக்க 
இடம் தரும்
முற்போக்கு மூதாட்டி","The progressive old woman
who lets them
finish the biscuit dabba,
stay the night,
do all the mischief 
they could never do
at their homes","Radangi is a progressive woman who vacates the biscuit box and whenever she thinks of it, she gives her house a place to hit the hitters who can't be hit.","Emptying the biscuit tin,  
whenever she thinks of it, the progressive old woman  
makes room  
to beat  
the louts  
whom they can’t beat in their own homes."
"புது மனைவியுடன் விழுந்து வணங்குகையில்
குழந்தையை தொட்டிலிடுகையில்
மூத்தவர் பட்டியலில்
நான் இருப்பதில்லை","On the list of elders
whose blessings the newly-weds seek,
who put their babies in the cradle -

I don’t find a place",I'm not on the senior list when I touch the baby while falling down with my new wife.,"When I fall and bow with my new wife  
When I rock the baby in the cradle  
In the elders’ list  
I am not there"
"கட்டின புடவையுடன்
அவன் கட்டிய தாலியுடன்
கையில் கைக்குழந்தையுடன்
நடுநிசியில்
பங்களாவிலிருந்து தெருவுக்குத் துரத்தப் படுகையில்
வராத கண்ணீர்","With nothing but a saree on
and the thali he tied on the neck,
a new-born resting in the arms,
in the middle of the night
Even when thrown out of the bungalow to the streets
the tears that didn’t flow back then,",With the thali he tied with the bundled sari Tears in the basin chasing from the bungalow to the street with a baby in hand,"In the sari she wore,  
with the *thali* he tied,  
with a baby in her arms,  
at midnight,  
as she is driven from the bungalow into the street—  
tears that do not come."
"குளிர்சாதனப் பெட்டியில்லாததால்
குழந்தைக்கு வைத்த பால் திரிந்து போகையில்
‘ஏசி’யில் வளர்ந்த குஞ்சு ஏஸ்பெஸ்டாஸ் கூரையின் சூட்டில்
வேகுகையில்
வராத கண்ணீர்","When the milk for the baby curdled
for lack of a refrigerator,
Even when the young one that grew up in the AC
got scorched under the asbestos heat,
the tears that didn’t flow back then,",Asbestos tears in the rooftop as the chicken grew up in an AC due to lack of refrigerator,"Because there is no refrigerator,  
the milk kept for the child turns sour;  
the chick raised in “AC”  
bakes in the heat beneath an asbestos roof—  
tears that will not come."
"பழக்கமில்லாமல் செய்த மற்றவர் வீட்டு பணியினால்
கைகள் புண்ணாகுகையில்
வராத கண்ணீர்","Even with hands covered in blisters
because of the unaccustomed
household chores done in others’ houses,
The tears that didn’t flow back then,",by the homework of the other who did it without habits Tears that do not come as the hands sore,"From doing unfamiliar housework in someone else’s home,  
when the hands become sore and wounded—  
tears that do not come."
"நேற்று மாலை பறவை சப்தம் கேட்டு
திடீரெனெ பொங்கி வழிந்தது -
அவன் வீட்டு சமையலறை மச்சில்
பஞ்சும் நூலும் சின்னச் சிறகுகளும் கொண்டு
மாய்ந்து மாய்ந்து கட்டப்பட்ட
வெளிர் நீல முட்டைகள் கொண்ட
சின்னஞ்சிறு கூட்டின் சிதைவை
கற்பனையில் கண்டு","Suddenly overflowed,
hearing the bird’s cry yesterday,
Visualising – in his kitchen loft –
the destruction of
the tiringly built tiny nest
made of lint, string and plumelets
with bluish white eggs.","Suddenly, on hearing the sound of the bird last evening, he saw in the kitchen of his house the decay of the little egg-tied coat with light blue threads and tiny wings.","Hearing the sound of birds yesterday evening,
suddenly it surged and overflowed—
in the loft of his house’s kitchen,
a tiny nest with pale blue eggs,
woven again and again
from cotton, thread, and little wings,
its ruin seen in imagination."
"நிற்பதுவே, நடப்பதுவே, பறப்பதுவே, நீங்களெல்லாம் 
சொற்பனந் தானோ?- பல தோற்ற மயக்கங்களோ? 
கற்பதுவே,கேட்பதுவே,கருதுவதே,நீங்க ளெல்லாம்
அற்பமாயைகளோ?- உம்முள் ஆழ்ந்த பொருளில்லையோ?","Those that stand, walk, and fly, are you all
fragments of my dreams?- or mere fancy forms?
Things that I learn, listen and think,
are you all mere illusions?- lacking profundity?


","It is standing, it is walking, it is flying, are you all idiots? It is learning, it is listening, it is thinking. Are you all idiots? Is there no deep meaning in you?","Is your standing, your walking, your flying—all of you—  
only a dream? or many illusory appearances?  
Is your learning, your hearing, your thinking—all of you—  
mere petty illusions? Is there no deep meaning within you?"
"கால மென்றே ஒரு நினைவும் காட்சியென்றே பலநினைவும்
கோலமும் பொய்களோ?- அங்குக் குணங்களும் பொய்களோ?
சோலையிலே மரங்க ளெல்லாம் தோன்றுவதோர் விதையிலென்றால்,
சோலை பொய்யாமோ?- இதைச் சொல்லொடு சேர்ப்பாரோ?","Time as memory, vision as multitude of recollections
are our forms and appearances fake - our roles just guises?
If trees of a grove spring from a seed, is the grove itself unreal?
Can this connection be made through words?","Is the fruit of time a reminder, a vision, a dream, a dream, a dream, a dream, a dream, a dream, a dream, a dream, a dream, a dream, a dream, a dream, a dream?

(Translation with breaks in between lines)

If all that is seen disappears, does all that is hidden disappear?

(Translation without any breaks)
","Is time itself but a single memory, and sights but many memories?
Are forms and patterns all lies?—are even virtues there lies?
If in a grove all the trees arise from a single seed,
Is the grove not a lie?—who would join this to their words?"
"காண்பவெல்லாம் மறையுமென்றால் மறைந்ததெல்லாம் காண்ப மன்றோ? 
வீண்படு பொய்யிலே- நித்தம் விதிதொடர்ந் திடுமோ?
காண்பதுவே உறுதிகண்டோம் காண்பதல்லால் உறுதில்லை
காண்பது சக்தியாம்- இந்தக் காட்சி நித்தியமாம்.","If everything we see fades, can everything that fades be seen again?
Amidst these fruitless lies - will fate bind us forever?
Everything we see might not be the truth
But we did see whatever we saw - and that’s the eternal truth.","If all that is seen is hidden, will all that is hidden be seen? If all that is seen is hidden? If all that is seen is hidden? If all that is seen is hidden, will all that is hidden be seen? If all that is seen is hidden?","If all that is seen must vanish, then must not all that has vanished be seen again?  
In futile falsehood—does fate keep following us forever?  
We have found certainty only in what is seen; apart from what is seen, there is no certainty.  
Seeing is power—this vision is eternal."
